ID_CURSO,ID_CENTRO_SIE,NOME_CURSO,NIVEL_CURSO,MODALIDADE_CURSO,CLASSIFICACAO_CURSO
1577,2752,Curso de Espanhol Básico,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1700,2732,CTISM - Segurança do Trabalho/Distância/Cruz Alta/RS,Pós-Médio,Técnico,EAD
1716,2712,CPOL - Curso Técnico em Cooperativismo/Distância/São João do Polêsine/RS,Pós-Médio,Técnico,EAD
1153,94,Esp. Educ. Esp. Déficit Cognitivo e Educ. Surdos/EAD/Ji-Paraná/RO,Especialização,Especialização,EAD
2196,78,Licenc. Letras Espanhol - Literaturas/Distância/Cacequi/RS,Graduação,Licenciatura,EAD
1090,94,Pedagogia/Distância/São Lourenço do Sul/RS,Graduação,Licenciatura,EAD
757,85,PG Zootecnia - Doutorado,Pós-Graduação,Doutorado,Presencial
1830,4634,Licenciatura Interdisciplinar Indígena/FW,Graduação,Licenciatura,Presencial
1856,117,PG em Engenharia Química - Doutorado,Pós-Graduação,Doutorado,Presencial
2199,78,Licenc. Letras Espanhol - Literaturas/Distância/Uruguaiana/RS,Graduação,Licenciatura,EAD
679,82,Física - Licenciatura Plena,Graduação,Licenciatura,Presencial
988,78,Música - Bacharelado Clarineta,Graduação,Bacharelado,Presencial
2311,82,GEOGRAFIA - Licenciatura,Graduação,Licenciatura,EAD
2312,82,GEOGRAFIA - Licenciatura,Graduação,Licenciatura,EAD
2313,82,GEOGRAFIA - Licenciatura,Graduação,Licenciatura,EAD
2314,85,EDUCAÇÃO DO CAMPO - Licenciatura,Graduação,Licenciatura,EAD
2315,85,EDUCAÇÃO DO CAMPO - Licenciatura,Graduação,Licenciatura,EAD
2316,85,EDUCAÇÃO DO CAMPO - Licenciatura,Graduação,Licenciatura,EAD
2226,82,PG Profissional em Ensino de Geografia em Rede Nacional - Mestrado,Pós-Graduação,Mestrado,Presencial
2264,97,PG - Ciências do Movimento e Reabilitação - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1601,205,Mobilidade Acadêmica Internacional,Pós-Graduação,Formação Especial,Apenas para vinculo dos alunos
2284,2712,Assistente Administrativo (PROEJA-FIC-EJA-ENSINO-MÉDIO),FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
2291,2712,Agente de Desenvolvimento Cooperativista (PROEJA-FIC-EJA-ENSINO-MÉDIO),FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
2317,85,EDUCAÇÃO DO CAMPO - Licenciatura,Graduação,Licenciatura,EAD
2318,85,EDUCAÇÃO DO CAMPO - Licenciatura,Graduação,Licenciatura,EAD
748,85,PG Medicina Veterinária - Clínica Médica- Mestrado,Pós-Graduação,Mestrado,Presencial
749,85,PG Medicina Veterinária - Fisiopatologia Reprodução-Mestrado,Pós-Graduação,Mestrado,Presencial
2488,94,Curso de Formação de Professores para Educação Profissional/Ead/Balneário Pinhal/RS,Graduação,Licenciatura,EAD
2489,94,Curso de Formação de Professores para Educação Profissional/Ead/Cerro Largo/RS,Graduação,Licenciatura,EAD
750,85,PG Medicina Veterinária - Patologia Veterinária- Mestrado,Pós-Graduação,Mestrado,Presencial
751,85,PG Medicina Veterinária - Preventiva - Mestrado,Pós-Graduação,Mestrado,Presencial
2547,4564,PG em Agronegócios - Doutorado/PM,Pós-Graduação,Doutorado,Presencial
2549,91,PG - Direito - Doutorado,Pós-Graduação,Doutorado,Presencial
2548,117,Curso de Especialização em Microeletrônica - Lato Sensu,Especialização,Especialização,Presencial - Com bolsa
807,117,PG Engenharia Produção - Tecnologia Informação- Mestrado,Pós-Graduação,Mestrado,Presencial
804,117,PG Qualidade e Produtividade - Mestrado,Pós-Graduação,Mestrado,Presencial
808,117,PG Engenharia Produção - Gerência Produção- Mestrado,Pós-Graduação,Mestrado,Presencial
813,78,PG Letras - Estudos Literários - Mestrado,Pós-Graduação,Mestrado,Presencial
816,78,PG Letras - Estudos Linguísticos - Mestrado,Pós-Graduação,Mestrado,Presencial
796,91,PG Integração Latino Americana - Mestrado,Pós-Graduação,Mestrado,Presencial
945,82,PG Ciências Biológicas - Biodiversidade Animal - Mestrado,Pós-Graduação,Mestrado,Presencial
851,88,PG-E Fonoaudiologia,Especialização,Especialização,Presencial
794,91,PG Pensamento Politico Brasileiro - Especialização,Especialização,Especialização,Presencial
747,85,PG Medicina Veterinária - Cirurgia Veterinária- Mestrado,Pós-Graduação,Mestrado,Presencial
2544,82,Curso de Estatística,Graduação,Bacharelado,Presencial
956,85,PG Mestrado em Geomática,Pós-Graduação,Mestrado,Presencial
2595,205,Mobilidade Acadêmica - Pós-graduação,Pós-Graduação,Formação Especial,Apenas para vinculo dos alunos
2593,2712,Curso de Assistente Administrativo,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
2585,2732,Curso de Auxiliar de Manutenção Predial,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial - Com bolsa
2571,2732,CTISM - Técnico em  Internet das Coisas Integrado ao Ensino Médio,Ensino Médio,Técnico,Presencial
2572,91,PG em Gestão de Organizações Públicas - Doutorado Profissional,Pós-Graduação,Doutorado,Presencial
2552,78,Mbya Guarani Educação Intercultural Indígena,Graduação,Licenciatura,Presencial
2573,94,PG em História em Rede Nacional - Doutorado Profissional,Pós-Graduação,Doutorado,Presencial
2604,4051,Ciência de Dados e Inteligência Artificial,Graduação,Bacharelado,Presencial
2551,94,Educação Especial Inclusiva,Graduação,Licenciatura,Presencial
2594,2712,Curso de Assistente em Informação e Gestão do Trabalho em Saúde,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,EAD - UFSM
