id_unidade_sie,nome_unidade,cod_estruturado,id_centro_sie,id_tipo_unidade,id_situacao_unidade
2598,Coordenadoria Planejamento e Avaliação Institucional,01.10.06.00.0.0,205,14,1
123,Divisão Análise e Desenvolvimento de Sistemas,01.31.02.00.0.0,205,14,1
6302,Subdivisão de Pós-Graduação do CT I,07.06.04.01.0.0,117,14,1
6313,Subdivisão de Projetos do CT,07.14.00.00.0.0,117,14,1
361,Almoxarifado dos Rus,01.35.01.01.0.0,205,14,1
2700,Coordenação de Análise Contábil,01.12.01.00.0.0,205,14,1
2701,Divisão de Administração Financeira,01.12.01.01.0.0,205,14,1
294,Divisão de Almoxarifado Central,01.18.03.00.0.0,205,14,1
9,Divisão de Apoio ao Usuário,01.31.03.00.0.0,205,14,1
2702,Divisão de Contabilidade,01.12.01.02.0.0,205,14,1
1147,Divisão de Patrimônio,01.18.02.00.0.0,205,14,1
2224,Divisão de Protocolo,01.84.01.00.0.0,205,14,1
137,Divisão de Suporte,01.31.01.00.0.0,205,14,1
290,"Divisão Material, Editais, Contratos e Importações",01.18.01.00.0.0,205,14,1
5961,Incubadora Social,01.07.08.02.0.0,205,14,1
6564,Núcleo Administrativo de Apoio à Regulamentação em Pesquisa,01.09.22.00.0.0,205,14,1
1128,Núcleo Agência Notícias,01.75.00.05.0.0,205,14,1
1405,Núcleo de Administração Financeira,01.05.01.01.0.0,205,14,1
6619,Núcleo de Apoio a Projetos,01.28.04.01.0.0,205,14,1
6677,Núcleo de Apoio Administrativo-Orçamentário da Correg,01.03.01.00.0.0,205,14,1
6617,Núcleo de Apoio Administrativo-Orçamentário da PROINOVA,01.28.06.00.0.0,205,14,1
6563,Núcleo de Apoio Administrativo-Orçamentário da PRPGP,01.09.21.00.0.0,205,14,1
6569,Núcleo de Apoio à Pesquisa e Estruturas Multiusuárias,01.09.25.03.0.0,205,14,1
5953,Núcleo de Apoio Orçamentário,01.07.00.04.0.0,205,14,1
3540,Núcleo de Atendimento e Controle Orçamentário,01.26.02.01.0.0,205,14,1
3537,Núcleo de Avaliação e Movimentação Funcional,01.26.04.03.0.0,205,14,1
